"date","temp_mean","temp_min","temp_max","month","season"
"2016-05-12",17,6,22,"May","Spring"
"2016-05-13",14,12,19,"May","Spring"
"2016-05-14",14,11,19,"May","Spring"
"2016-05-15",12,10,14,"May","Spring"
"2016-05-17",8,5,13,"May","Spring"
"2016-05-18",6,4,11,"May","Spring"
"2016-05-19",10.5,1,17,"May","Spring"
"2016-05-20",13.5,2,19,"May","Spring"
"2016-05-21",14,5,22,"May","Spring"
"2016-05-22",17,9,22,"May","Spring"
"2016-05-23",19,10,24,"May","Spring"
"2016-05-24",20,13,24,"May","Spring"
"2016-05-25",15,12,21,"May","Spring"
"2016-05-26",16.5,7,22,"May","Spring"
"2016-05-27",14,9,24,"May","Spring"
"2016-05-28",20,10,27,"May","Spring"
"2016-05-29",22.5,11,27,"May","Spring"
"2016-05-30",20,14,28,"May","Spring"
"2016-05-31",18,16,22,"May","Spring"
"2016-06-01",20,13,26,"June","Summer"
"2016-06-02",18,15,20,"June","Summer"
"2016-06-03",16.5,13,21,"June","Summer"
"2016-06-04",18.5,8,23,"June","Summer"
"2016-06-05",18,10,24,"June","Summer"
"2016-06-06",16,11,18,"June","Summer"
"2016-06-07",13,8,17,"June","Summer"
"2016-06-08",15,4,20,"June","Summer"
"2016-06-09",18,7,23,"June","Summer"
"2016-06-10",15,9,21,"June","Summer"
"2016-06-11",14,9,19,"June","Summer"
"2016-06-12",16,7,19,"June","Summer"
"2016-06-13",17,11,19,"June","Summer"
"2016-06-14",15,13,16,"June","Summer"
"2016-06-15",16,13,23,"June","Summer"
"2016-06-16",18.5,15,25,"June","Summer"
"2016-06-17",25,17,32,"June","Summer"
"2016-06-18",20,13,26,"June","Summer"
"2016-06-19",23,16,27,"June","Summer"
"2016-06-20",22,18,27,"June","Summer"
"2016-06-21",18,17,20,"June","Summer"
"2016-06-22",23,16,27,"June","Summer"
"2016-06-23",22.5,19,28,"June","Summer"
"2016-06-24",25,18,30,"June","Summer"
"2016-06-25",24.5,20,29,"June","Summer"
"2016-06-26",23.5,19,30,"June","Summer"
"2016-06-27",20,18,21,"June","Summer"
"2016-06-28",17,17,20,"June","Summer"
"2016-06-29",19.5,13,26,"June","Summer"
"2016-06-30",22.5,12,28,"June","Summer"
"2016-07-01",23.5,14,29,"July","Summer"
"2016-07-02",24,17,30,"July","Summer"
"2016-07-03",19,16,24,"July","Summer"
"2016-07-04",18,12,22,"July","Summer"
"2016-07-05",19,9,24,"July","Summer"
"2016-07-06",19,14,24,"July","Summer"
"2016-07-07",15,11,17,"July","Summer"
"2016-07-08",16,7,23,"July","Summer"
"2016-07-09",15,12,19,"July","Summer"
"2016-07-10",15.5,11,23,"July","Summer"
"2016-07-11",22,11,29,"July","Summer"
"2016-07-12",25.5,15,31,"July","Summer"
"2016-07-13",24,16,31,"July","Summer"
"2016-07-14",19,17,28,"July","Summer"
"2016-07-15",16,12,20,"July","Summer"
"2016-07-16",18,13,22,"July","Summer"
"2016-07-17",17,15,20,"July","Summer"
"2016-07-18",16,14,19,"July","Summer"
"2016-07-19",15,13,19,"July","Summer"
"2016-07-20",17,12,22,"July","Summer"
"2016-07-21",18,9,24,"July","Summer"
"2016-07-22",19.5,8,25,"July","Summer"
"2016-07-23",19,11,24,"July","Summer"
"2016-07-24",21.5,13,28,"July","Summer"
"2016-07-25",23,14,29,"July","Summer"
"2016-07-26",21,17,31,"July","Summer"
"2016-07-27",22,18,30,"July","Summer"
"2016-07-28",21,16,28,"July","Summer"
"2016-07-29",22,15,26,"July","Summer"
"2016-07-30",18,14,28,"July","Summer"
"2016-07-31",22,15,30,"July","Summer"
"2016-08-01",20,17,27,"August","Summer"
"2016-08-02",18.5,15,24,"August","Summer"
"2016-08-03",18,12,26,"August","Summer"
"2016-08-04",21,12,28,"August","Summer"
"2016-08-05",24.5,16,31,"August","Summer"
"2016-08-06",20,18,23,"August","Summer"
"2016-08-07",17,12,23,"August","Summer"
"2016-08-08",17.5,8,26,"August","Summer"
"2016-08-09",19.5,11,29,"August","Summer"
"2016-08-10",19,15,27,"August","Summer"
"2016-08-11",14,11,16,"August","Summer"
"2016-08-12",13,9,19,"August","Summer"
"2016-08-13",16,6,21,"August","Summer"
"2016-08-14",18,13,25,"August","Summer"
"2016-08-15",17,11,22,"August","Summer"
"2016-08-16",15,10,22,"August","Summer"
"2016-08-17",13,8,15,"August","Summer"
"2016-08-18",13,7,22,"August","Summer"
"2016-08-19",16.5,10,26,"August","Summer"
"2016-08-20",19.5,11,28,"August","Summer"
"2016-08-21",20,13,30,"August","Summer"
"2016-08-22",19,17,22,"August","Summer"
"2016-08-23",17,15,23,"August","Summer"
"2016-08-24",18,10,24,"August","Summer"
"2016-08-25",17,10,24,"August","Summer"
"2016-08-26",17.5,9,26,"August","Summer"
"2016-08-27",18.5,10,29,"August","Summer"
"2016-08-28",20,12,30,"August","Summer"
"2016-08-29",21,13,30,"August","Summer"
"2016-08-30",18,11,23,"August","Summer"
"2016-08-31",16,7,22,"August","Summer"
"2016-09-01",16,8,25,"September","Autumn"
"2016-09-02",15,8,25,"September","Autumn"
"2016-09-03",14,9,25,"September","Autumn"
"2016-09-04",18.5,10,28,"September","Autumn"
"2016-09-05",17,15,19,"September","Autumn"
"2016-09-06",16,15,22,"September","Autumn"
"2016-09-07",18.5,14,27,"September","Autumn"
"2016-09-08",16,12,27,"September","Autumn"
"2016-09-09",15,12,27,"September","Autumn"
"2016-09-10",18,12,29,"September","Autumn"
"2016-09-11",20,12,30,"September","Autumn"
"2016-09-12",20,15,29,"September","Autumn"
"2016-09-13",20.5,12,28,"September","Autumn"
"2016-09-14",17,12,23,"September","Autumn"
"2016-09-15",14.5,8,23,"September","Autumn"
"2016-09-16",16.5,7,26,"September","Autumn"
"2016-09-17",17.5,12,25,"September","Autumn"
"2016-09-18",13,11,15,"September","Autumn"
"2016-09-19",13,12,15,"September","Autumn"
"2016-09-20",10,8,13,"September","Autumn"
"2016-09-21",9,7,12,"September","Autumn"
"2016-09-22",8,6,13,"September","Autumn"
"2016-09-23",11,8,15,"September","Autumn"
"2016-09-24",11,8,16,"September","Autumn"
"2016-09-25",8,6,17,"September","Autumn"
"2016-09-26",9,6,15,"September","Autumn"
"2016-09-27",9,5,14,"September","Autumn"
"2016-09-28",13,5,17,"September","Autumn"
"2016-09-29",15,13,21,"September","Autumn"
"2016-09-30",15,9,23,"September","Autumn"
"2016-10-01",15,10,22,"October","Autumn"
"2016-10-02",15.5,9,23,"October","Autumn"
"2016-10-03",14,13,16,"October","Autumn"
"2016-10-04",11,5,13,"October","Autumn"
"2016-10-05",4,1,5,"October","Autumn"
"2016-10-06",6.5,-1,11,"October","Autumn"
"2016-10-07",6,2,10,"October","Autumn"
"2016-10-08",2,0,11,"October","Autumn"
"2016-10-09",6,3,10,"October","Autumn"
"2016-10-10",6,4,11,"October","Autumn"
"2016-10-11",6,4,11,"October","Autumn"
"2016-10-12",6,5,8,"October","Autumn"
"2016-10-13",3.5,3,5,"October","Autumn"
"2016-10-14",3,1,10,"October","Autumn"
"2016-10-15",5,2,6,"October","Autumn"
"2016-10-16",4,3,4,"October","Autumn"
"2016-10-17",5,2,9,"October","Autumn"
"2016-10-18",4,2,6,"October","Autumn"
"2016-10-19",6,4,9,"October","Autumn"
"2016-10-20",6,4,9,"October","Autumn"
"2016-10-21",6,5,7,"October","Autumn"
"2016-10-22",6,4,8,"October","Autumn"
"2016-10-23",6,1,10,"October","Autumn"
"2016-10-24",8,7,8,"October","Autumn"
"2016-10-25",8.5,7,11,"October","Autumn"
"2016-10-26",8,6,9,"October","Autumn"
"2016-10-27",5,0,8,"October","Autumn"
"2016-10-28",6,-2,9,"October","Autumn"
"2016-10-29",8,3,10,"October","Autumn"
"2016-10-30",4,4,6,"October","Autumn"
"2016-10-31",4,3,6,"October","Autumn"
"2016-11-01",4,2,6,"November","Autumn"
"2016-11-02",5,3,7,"November","Autumn"
"2016-11-03",3,2,5,"November","Autumn"
"2016-11-04",1,-2,5,"November","Autumn"
"2016-11-05",4,-4,9,"November","Autumn"
"2016-11-07",4,3,13,"November","Autumn"
"2016-11-08",4,0,6,"November","Autumn"
"2016-11-09",4,0,4,"November","Autumn"
"2016-11-10",1,0,3,"November","Autumn"
"2016-11-12",1,-2,3,"November","Autumn"
"2016-11-13",-2,-3,-2,"November","Autumn"
"2016-11-14",-2,-3,0,"November","Autumn"
"2016-11-15",-2.5,-6,2,"November","Autumn"
"2016-11-16",0,-3,1,"November","Autumn"
"2016-11-17",2,-1,4,"November","Autumn"
"2016-11-18",5,0,9,"November","Autumn"
"2016-11-19",5.5,4,10,"November","Autumn"
"2016-11-20",5,3,8,"November","Autumn"
"2016-11-21",4,2,5,"November","Autumn"
"2016-11-22",2,1,2,"November","Autumn"
"2016-11-23",1,1,3,"November","Autumn"
"2016-11-24",1,0,7,"November","Autumn"
"2016-11-25",3,0,4,"November","Autumn"
"2016-11-26",0,-1,2,"November","Autumn"
"2016-11-27",4,0,7,"November","Autumn"
"2016-11-28",-1,-3,1,"November","Autumn"
"2016-11-29",-3,-11,-1,"November","Autumn"
"2016-11-30",-1,-12,2,"November","Autumn"
"2016-12-01",0,-1,0,"December","Winter"
"2016-12-02",0,-3,1,"December","Winter"
"2016-12-03",0,-2,0,"December","Winter"
"2016-12-04",-2,-9,0,"December","Winter"
"2016-12-05",-4,-9,1,"December","Winter"
"2016-12-06",-2,-7,-1,"December","Winter"
"2016-12-07",-3,-11,-1,"December","Winter"
"2016-12-08",2,-7,4,"December","Winter"
"2016-12-09",3,2,5,"December","Winter"
"2016-12-10",6,4,7,"December","Winter"
"2016-12-11",5,4,6,"December","Winter"
"2016-12-12",1,-5,4,"December","Winter"
"2016-12-13",-7,-9,-5,"December","Winter"
"2016-12-14",-3,-7,-1,"December","Winter"
"2016-12-15",0,-2,0,"December","Winter"
"2016-12-16",-5,-11,-2,"December","Winter"
"2016-12-17",-4,-9,-1,"December","Winter"
"2016-12-18",-3,-10,-2,"December","Winter"
"2016-12-19",-1,-3,0,"December","Winter"
"2016-12-20",0,-1,0,"December","Winter"
"2016-12-21",-1,-6,1,"December","Winter"
"2016-12-22",-6,-9,3,"December","Winter"
"2016-12-23",-2.5,-9,-1,"December","Winter"
"2016-12-24",-1,-2,1,"December","Winter"
"2016-12-25",-0.5,-2,0,"December","Winter"
"2016-12-26",3,0,4,"December","Winter"
"2016-12-27",2,1,4,"December","Winter"
"2016-12-28",0,-1,2,"December","Winter"
"2016-12-29",-2,-2,0,"December","Winter"
"2016-12-30",-2,-4,-1,"December","Winter"
"2016-12-31",-2,-9,1,"December","Winter"
